"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","172.17.0.2","172.17.0.3","ICMP","100","Echo (ping) request  id=0x0014, seq=1/256, ttl=64 (no response found!)"
"2","0.000030530","172.17.0.2","172.17.0.3","ICMP","100","Echo (ping) request  id=0x0014, seq=1/256, ttl=64 (reply in 3)"
"3","0.000050129","172.17.0.3","172.17.0.2","ICMP","100","Echo (ping) reply    id=0x0014, seq=1/256, ttl=64 (request in 2)"
"4","0.000055670","172.17.0.3","172.17.0.2","ICMP","100","Echo (ping) reply    id=0x0014, seq=1/256, ttl=64"
"5","1.017303685","172.17.0.2","172.17.0.3","ICMP","100","Echo (ping) request  id=0x0014, seq=2/512, ttl=64 (no response found!)"
"6","1.017322932","172.17.0.2","172.17.0.3","ICMP","100","Echo (ping) request  id=0x0014, seq=2/512, ttl=64 (reply in 7)"
"7","1.017336930","172.17.0.3","172.17.0.2","ICMP","100","Echo (ping) reply    id=0x0014, seq=2/512, ttl=64 (request in 6)"
"8","1.017340076","172.17.0.3","172.17.0.2","ICMP","100","Echo (ping) reply    id=0x0014, seq=2/512, ttl=64"
"9","2.041301848","172.17.0.2","172.17.0.3","ICMP","100","Echo (ping) request  id=0x0014, seq=3/768, ttl=64 (no response found!)"
"10","2.041326495","172.17.0.2","172.17.0.3","ICMP","100","Echo (ping) request  id=0x0014, seq=3/768, ttl=64 (reply in 11)"
"11","2.041340923","172.17.0.3","172.17.0.2","ICMP","100","Echo (ping) reply    id=0x0014, seq=3/768, ttl=64 (request in 10)"
"12","2.041344119","172.17.0.3","172.17.0.2","ICMP","100","Echo (ping) reply    id=0x0014, seq=3/768, ttl=64"
"13","3.065284970","172.17.0.2","172.17.0.3","ICMP","100","Echo (ping) request  id=0x0014, seq=4/1024, ttl=64 (no response found!)"
"14","3.065305062","172.17.0.2","172.17.0.3","ICMP","100","Echo (ping) request  id=0x0014, seq=4/1024, ttl=64 (reply in 15)"
"15","3.065319805","172.17.0.3","172.17.0.2","ICMP","100","Echo (ping) reply    id=0x0014, seq=4/1024, ttl=64 (request in 14)"
"16","3.065324262","172.17.0.3","172.17.0.2","ICMP","100","Echo (ping) reply    id=0x0014, seq=4/1024, ttl=64"
"17","3.671772277","172.17.0.4","172.17.0.3","ICMP","100","Echo (ping) request  id=0x0015, seq=1/256, ttl=64 (no response found!)"
"18","3.671802604","172.17.0.4","172.17.0.3","ICMP","100","Echo (ping) request  id=0x0015, seq=1/256, ttl=64 (reply in 19)"
"19","3.671820152","172.17.0.3","172.17.0.4","ICMP","100","Echo (ping) reply    id=0x0015, seq=1/256, ttl=64 (request in 18)"
"20","3.671826983","172.17.0.3","172.17.0.4","ICMP","100","Echo (ping) reply    id=0x0015, seq=1/256, ttl=64"
"21","4.697601051","172.17.0.4","172.17.0.3","ICMP","100","Echo (ping) request  id=0x0015, seq=2/512, ttl=64 (no response found!)"
"22","4.697623607","172.17.0.4","172.17.0.3","ICMP","100","Echo (ping) request  id=0x0015, seq=2/512, ttl=64 (reply in 23)"
"23","4.697639261","172.17.0.3","172.17.0.4","ICMP","100","Echo (ping) reply    id=0x0015, seq=2/512, ttl=64 (request in 22)"
"24","4.697645661","172.17.0.3","172.17.0.4","ICMP","100","Echo (ping) reply    id=0x0015, seq=2/512, ttl=64"
"25","5.721287291","172.17.0.4","172.17.0.3","ICMP","100","Echo (ping) request  id=0x0015, seq=3/768, ttl=64 (no response found!)"
"26","5.721309376","172.17.0.4","172.17.0.3","ICMP","100","Echo (ping) request  id=0x0015, seq=3/768, ttl=64 (reply in 27)"
"27","5.721324460","172.17.0.3","172.17.0.4","ICMP","100","Echo (ping) reply    id=0x0015, seq=3/768, ttl=64 (request in 26)"
"28","5.721328466","172.17.0.3","172.17.0.4","ICMP","100","Echo (ping) reply    id=0x0015, seq=3/768, ttl=64"
"29","6.745309066","172.17.0.4","172.17.0.3","ICMP","100","Echo (ping) request  id=0x0015, seq=4/1024, ttl=64 (no response found!)"
